Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle
2018,Dallas Goedert,South Dakota State,TE,76.63,256,9.25,32.88,,,23,35,121,4.31,7.02,
2018,Deandre Goolsby,Florida,TE,76.25,240,10.63,32.75,,4.79,13,30.5,114,4.36,6.97,
2018,Derrick Hayward,Maryland,TE,76.75,237,9.75,33.625,,4.81,23,34.5,125,4.47,7.18,
2018,Christopher Herndon,Miami (FL),TE,75.75,253,9.75,32.75,,,21,34,116,4.59,7.38,
2018,Garrett Hudson,Richmond (VA),TE,75.75,244,9.13,30.5,,4.6,20,34,115,4.41,7.26,
2018,Cole Hunt,Texas Christian,TE,78.13,254,9,32.25,,4.83,21,32,115,4.37,7.15,
2018,Hayden Hurst,South Carolina,TE,76.5,250,9.75,32.13,,4.67,16,31.5,120,4.37,7.19,12.15
2018,Ryan Izzo,Florida State,TE,76.63,256,9.25,31.38,,4.94,18,33,110,4.43,7.15,12.15
2018,Ben Johnson,Kansas,TE,75.88,246,9.75,30.5,,4.99,17,33,114,4.39,7.26,
2018,Nathan Marcus,Vanderbilt,TE,77.13,236,9.13,31.875,,4.69,17,33,116,4.45,7.09,
2018,Tommy Myers,Connecticut,TE,76.25,248,9,30.75,,4.89,22,31.5,114,4.49,7.13,
2018,Jason Reese,Missouri,TE,76,259,9.25,33.125,,4.88,16,32,114,4.7,7.48,
2018,Jaylen Samuels,North Carolina State,TE,71.5,225,9.5,31.25,,4.54,18,34.5,121,4.28,6.93,
2018,Dalton Schultz,Stanford,TE,77.38,244,9.25,31.75,,4.75,15,32,120,4.4,7,
2018,Cam Serigne,Wake Forest,TE,74.13,240,9,32.125,,4.97,17,32,109,4.34,7.09,
2018,Durham Smythe,Notre Dame,TE,77.38,253,10.75,32.5,,4.81,18,31,110,4.23,7.17,11.86
2018,Ian Thomas,Indiana,TE,75.63,259,11.5,34.13,,4.74,,36,123,4.2,7.15,
2018,Jordan Thomas,Mississippi State,TE,77.5,265,9.63,32.25,,4.74,16,27,111,4.75,7.5,
2018,David Wells,San Diego State,TE,77.63,256,9.63,32.25,,4.75,20,33,116,4.59,7.5,12.41
2018,Ethan Wolf,Tennessee,TE,77.75,252,8.88,32.5,,4.98,15,29.5,110,4.29,7.14,
2019,Andrew Beck,Texas,TE,74.88,252,9.13,30.25,,4.63,23,34,119,4.26,7.34,
2019,Kendall Blanton,Missouri,TE,78.25,262,10.38,33.75,,4.95,22,31,113,4.42,7.37,12.28
2019,Keenen Brown,Texas State,TE,74.5,250,9.88,34.5,,4.75,17,33,117,4.51,7.27,12.25
2019,Ian Bunting,California,TE,78.5,247,10.63,34,,4.93,17,35,123,4.39,7.31,
2019,Evan Butts,Virginia,TE,75.63,247,9.25,32,,5.14,20,24.5,109,4.66,7.34,
2019,C.J. Conrad,Kentucky,TE,76.5,249,9.25,31,,4.8,21,33,113,4.41,7.14,
2019,Micky Crum,Louisville,TE,76.38,246,9.63,31.75,,4.98,15,31,106,4.66,7.22,
2019,Noah Fant,Iowa,TE,76.13,249,9.75,33.5,,4.5,20,39.5,127,4.22,6.81,11.49
2019,Austin Fort,Wyoming,TE,75.75,238,10.25,33,,4.61,,31.5,117,4.36,6.94,
2019,Zach Gentry,Michigan,TE,80.13,265,9.5,34.13,,4.9,12,29.5,110,4.53,7.4,12.43
2019,Jackson Harris,Georgia,TE,76.88,251,9.75,31.625,,4.73,20,34.5,122,4.38,7.32,
2019,Daniel Helm,Duke,TE,76.13,249,9.5,33.38,,4.89,14,39.5,125,4.37,7.02,
2019,Hale Hentges,Alabama,TE,76.25,253,9.25,33.25,,5.04,12,33.5,107,4.53,7.39,
2019,Cole Herdman,Purdue,TE,75.63,238,9.25,32.125,,5,,29,111,4.32,6.86,
2019,Vincent Hobbs,Texas A&M-Kingsville,TE,75.25,254,9.5,33.75,,4.91,19,28,113,5.01,7.35,
2019,T.J. Hockenson,Iowa,TE,76.63,251,9.5,32.25,,4.7,17,37.5,123,4.18,7.02,11.55
2019,Justin Johnson,Mississippi State,TE,75,235,9.25,32.25,,4.6,22,34,120,4.47,7.36,
2019,Dawson Knox,Mississippi,TE,76.38,254,9.75,33.5,,4.59,16,34.5,122,4.27,7.12,
2019,Davis Koppenhaver,Duke,TE,75.63,245,9.13,31.25,,4.92,14,32,113,4.51,7.38,
